match_id,lado,col_posesion_pct,riv_posesion_pct,col_grandes_ocasiones,riv_grandes_ocasiones,col_tiros_totales,riv_tiros_totales,col_atajadas,riv_atajadas,col_corners,riv_corners,col_faltas_cometidas,riv_faltas_cometidas,col_pases_totales,riv_pases_totales,col_entradas,riv_entradas,col_tiros_libres,riv_tiros_libres,col_tarjetas_amarillas,riv_tarjetas_amarillas,col_tiros_arco,riv_tiros_arco,col_palos,riv_palos,col_tiros_fuera,riv_tiros_fuera,col_tiros_bloqueados,riv_tiros_bloqueados,col_tiros_dentro_area,riv_tiros_dentro_area,col_tiros_fuera_area,riv_tiros_fuera_area,col_grandes_ocasiones_gol,riv_grandes_ocasiones_gol,col_pases_filtrados,riv_pases_filtrados,col_toques_area,riv_toques_area,col_faltas_recibidas_tercio_final,riv_faltas_recibidas_tercio_final,col_fueras_juego,riv_fueras_juego,col_pases_precisos,riv_pases_precisos,col_saques_banda,riv_saques_banda,col_entradas_tercio_final,riv_entradas_tercio_final,col_duelos_totales,riv_duelos_totales,col_perdidas_balon,riv_perdidas_balon,col_entradas_ganadas,riv_entradas_ganadas,col_entradas_totales,riv_entradas_totales,col_intercepciones,riv_intercepciones,col_recuperaciones,riv_recuperaciones,col_despejes,riv_despejes,col_atajadas_totales,riv_atajadas_totales,col_salidas_aereas,riv_salidas_aereas,col_saques_puerta,riv_saques_puerta,col_errores_tiro,riv_errores_tiro,col_xG,riv_xG,match_date,tournament,home_team,away_team,home_score,away_score,result,goals_for,goals_against,clean_sheet,rival,col_duelos_suelo_ganados,col_duelos_suelo_disputados,col_duelos_suelo_pct,riv_duelos_suelo_ganados,riv_duelos_suelo_disputados,riv_duelos_suelo_pct,col_duelos_aereos_ganados,col_duelos_aereos_disputados,col_duelos_aereos_pct,riv_duelos_aereos_ganados,riv_duelos_aereos_disputados,riv_duelos_aereos_pct,col_dribbles_ganados,col_dribbles_disputados,col_dribbles_pct,riv_dribbles_ganados,riv_dribbles_disputados,riv_dribbles_pct,col_fases_tercio_final_ganados,col_fases_tercio_final_disputados,col_fases_tercio_final_pct,riv_fases_tercio_final_ganados,riv_fases_tercio_final_disputados,riv_fases_tercio_final_pct,col_pases_largos_ganados,col_pases_largos_disputados,col_pases_largos_pct,riv_pases_largos_ganados,riv_pases_largos_disputados,riv_pases_largos_pct,col_centros_ganados,col_centros_disputados,col_centros_pct,riv_centros_ganados,riv_centros_disputados,riv_centros_pct,team
16118858,local,72,28,3,0,20,4,0,6,"6,0","1,0","16,0","12,0",789,301,12,21,11,16,"4,0","1,0",8,0,1,0,7,2,5,2,14,1,6,3,"2,0","0,0","1,0","0,0",42,6,"2,0","1,0","1,0","2,0",746,247,19,9,79,21,"41,0","59,0",9,5,75,57,12,21,4,14,38,46,6,11,0,6,"1,0","1,0",4,8,"0,0","1,0",,,2026-06-07 00:00:00,Int. Friendly Games,Argentina,Honduras,2,0,W,"2,0","0,0",True,Honduras,26,69,"38,0",43,69,"62,0",9,16,"56,0",7,16,"44,0",2,15,"13,0",5,12,"42,0",228,258,"88,0",14,30,"47,0",18,28,"64,0",16,39,"41,0",6,14,"43,0",2,8,"25,0",Argentina
15884050,local,76,24,3,0,9,3,1,1,"6,0","4,0","6,0","9,0",882,259,16,10,8,6,"0,0","1,0",5,1,0,0,2,1,2,1,7,1,2,2,"3,0","0,0",,,41,5,"1,0","0,0","3,0","2,0",826,217,13,10,73,30,"54,0","46,0",2,5,63,50,16,10,5,17,38,36,12,18,1,1,,,2,2,,,"1,64","0,23",2026-03-31 23:30:00,Int. Friendly Games,Argentina,Zambia,5,0,W,"5,0","0,0",True,Zambia,32,57,"56,0",25,57,"44,0",2,6,"33,0",4,6,"67,0",8,16,"50,0",9,20,"45,0",192,222,"86,0",29,44,"66,0",34,45,"76,0",17,30,"57,0",1,8,"13,0",0,11,"0,0",Argentina
15847002,local,64,36,1,1,7,11,3,2,"4,0","2,0","18,0","12,0",705,386,19,15,12,18,"1,0","1,0",4,4,0,0,0,6,3,1,3,8,4,3,"1,0","1,0",,,28,16,"3,0","2,0","2,0","1,0",650,338,13,5,78,36,"52,0","48,0",7,8,68,67,19,15,7,13,47,55,6,16,3,2,,,6,1,,,"0,72","0,93",2026-03-27 23:15:00,Int. Friendly Games,Argentina,Mauritania,2,1,W,"2,0","1,0",False,Mauritania,39,76,"51,0",37,76,"49,0",4,6,"67,0",2,6,"33,0",9,17,"53,0",6,17,"35,0",179,217,"82,0",45,66,"68,0",20,27,"74,0",11,33,"33,0",3,13,"23,0",1,5,"20,0",Argentina
15016652,visitante,67,33,2,1,8,7,2,1,"6,0","5,0",,,555,263,15,11,15,17,"1,0","1,0",3,2,0,0,3,3,2,2,6,5,2,2,"1,0","0,0",,,17,13,"1,0","2,0","4,0","2,0",500,220,11,13,44,30,"53,0","47,0",8,8,60,55,15,11,14,9,42,34,15,13,2,1,"1,0","2,0",4,4,"0,0","1,0","0,86","0,78",2025-11-14 16:00:00,Int. Friendly Games,Angola,Argentina,0,2,W,"2,0","0,0",True,Angola,32,65,"49,0",33,65,"51,0",6,7,"86,0",1,7,"14,0",4,7,"57,0",6,13,"46,0",78,106,"74,0",47,64,"73,0",25,40,"63,0",24,35,"69,0",0,6,"0,0",4,17,"24,0",Argentina
14787861,visitante,69,31,4,0,25,5,3,6,"1,0","1,0",,,732,332,14,11,4,12,,,11,3,1,0,8,1,6,1,16,1,9,4,"3,0","0,0","4,0","0,0",50,2,"2,0","1,0","3,0","3,0",671,273,12,9,101,28,"52,0","48,0",5,11,79,73,14,11,7,12,48,35,4,23,3,6,"1,0","0,0",2,10,"1,0","0,0","3,58","0,41",2025-10-15 00:00:00,Int. Friendly Games,Puerto Rico,Argentina,0,6,W,"6,0","0,0",True,Puerto Rico,26,55,"47,0",29,55,"53,0",6,7,"86,0",1,7,"14,0",8,14,"57,0",6,9,"67,0",316,369,"86,0",17,39,"44,0",12,19,"63,0",28,53,"53,0",3,7,"43,0",0,1,"0,0",Argentina
14787863,local,69,31,9,1,19,5,1,10,"8,0","1,0","10,0","12,0",725,334,20,13,12,10,"0,0","3,0",11,1,1,1,4,3,4,1,12,3,7,2,,,"1,0","0,0",37,9,"4,0","2,0","4,0","1,0",668,276,15,11,74,25,"52,0","48,0",4,12,55,54,20,13,8,13,37,36,5,21,1,10,,,7,8,,,"3,03","0,81",2025-10-11 00:00:00,Int. Friendly Games,Argentina,Venezuela,1,0,W,"1,0","0,0",True,Venezuela,42,74,"57,0",32,74,"43,0",1,9,"11,0",8,9,"89,0",10,19,"53,0",9,17,"53,0",153,193,"79,0",24,35,"69,0",35,44,"80,0",21,40,"53,0",7,17,"41,0",1,3,"33,0",Argentina
14169218,visitante,57,43,0,4,8,11,3,0,"8,0","2,0","10,0","13,0",546,418,15,17,13,9,"3,0","4,0",0,4,0,0,4,4,4,3,3,7,5,4,"0,0","1,0","0,0","2,0",13,11,"3,0","3,0","1,0","2,0",488,359,10,17,70,47,"54,0","46,0",14,7,47,47,15,17,6,10,38,36,16,24,3,0,,,8,8,"1,0","0,0",,,2025-09-09 23:00:00,"World Cup Qualification, CONMEBOL",Ecuador,Argentina,1,0,L,"0,0","1,0",False,Ecuador,32,64,"50,0",32,64,"50,0",12,18,"67,0",6,18,"33,0",4,7,"57,0",6,14,"43,0",131,163,"80,0",58,86,"67,0",25,42,"60,0",18,42,"43,0",4,24,"17,0",2,5,"40,0",Argentina
14169215,local,76,24,7,0,17,5,0,6,"4,0","0,0","9,0","13,0",835,258,5,15,13,9,"1,0","2,0",9,0,0,0,5,3,3,2,10,0,7,5,"3,0","0,0","3,0","0,0",32,10,"1,0","1,0","4,0","0,0",781,190,14,8,69,37,"54,0","46,0",6,2,40,67,5,15,8,14,48,43,15,22,0,6,,,5,8,,,,,2025-09-04 23:30:00,"World Cup Qualification, CONMEBOL",Argentina,Venezuela,3,0,W,"3,0","0,0",True,Venezuela,24,49,"49,0",25,49,"51,0",9,12,"75,0",3,12,"25,0",7,16,"44,0",1,4,"25,0",157,187,"84,0",37,63,"59,0",58,66,"88,0",14,42,"33,0",0,2,"0,0",2,4,"50,0",Argentina
13856224,local,64,36,2,5,10,11,4,2,"4,0","6,0","16,0","12,0",606,345,20,11,12,16,"2,0","4,0",3,5,1,1,6,2,1,4,7,9,3,2,"0,0","1,0","2,0","0,0",28,14,"1,0","1,0","4,0","1,0",553,291,19,14,57,33,"56,0","44,0",5,11,75,73,20,11,13,6,41,37,8,30,4,2,"2,0","0,0",4,9,,,,,2025-06-11 00:00:00,"World Cup Qualification, CONMEBOL",Argentina,Colombia,1,1,D,"1,0","1,0",False,Colombia,45,78,"58,0",33,78,"42,0",8,16,"50,0",8,16,"50,0",13,19,"68,0",6,15,"40,0",125,155,"81,0",52,74,"70,0",13,20,"65,0",18,40,"45,0",2,16,"13,0",4,10,"40,0",Argentina
13856223,visitante,66,34,3,1,10,7,3,3,"4,0","1,0","9,0","9,0",744,364,20,20,9,9,"2,0","4,0",4,3,0,1,3,2,3,2,6,4,4,3,"1,0","0,0","3,0","0,0",19,14,"1,0","2,0","2,0","2,0",675,294,13,18,38,37,"54,0","46,0",5,15,60,50,20,20,13,12,47,47,16,7,3,3,"1,0","2,0",5,4,"1,0","0,0",,,2025-06-06 01:00:00,"World Cup Qualification, CONMEBOL",Chile,Argentina,0,1,W,"1,0","0,0",True,Chile,36,72,"50,0",36,72,"50,0",8,9,"89,0",1,9,"11,0",8,23,"35,0",7,12,"58,0",42,66,"64,0",79,105,"75,0",27,41,"66,0",14,36,"39,0",0,5,"0,0",4,17,"24,0",Argentina
16186149,local,66,34,3,0,13,3,1,3,"5,0","3,0","8,0","10,0",681,346,22,13,10,8,"2,0","2,0",4,2,2,0,6,1,3,1,8,1,5,2,"1,0","0,0","2,0","0,0",25,5,,,"4,0","1,0",616,287,11,14,71,31,"63,0","37,0",5,14,68,54,22,13,10,8,55,45,10,27,1,3,,,4,14,,,,,2026-06-04 19:00:00,Int. Friendly Games,Spain,Iraq,1,1,D,"1,0","1,0",False,Iraq,41,64,"64,0",23,64,"36,0",5,9,"56,0",4,9,"44,0",11,19,"58,0",3,11,"27,0",120,157,"76,0",42,60,"70,0",22,34,"65,0",26,50,"52,0",7,25,"28,0",1,12,"0,0",España
15372901,local,61,39,4,0,25,4,1,6,"11,0","0,0","11,0","9,0",654,435,17,20,9,11,"0,0","5,0",6,1,1,1,8,2,11,1,18,0,7,4,,,"5,0","0,0",49,0,"4,0","1,0","2,0","0,0",596,365,16,15,81,20,"49,0","51,0",10,9,41,75,17,20,9,11,52,51,7,39,1,6,,,5,9,"1,0","1,0","2,37","0,14",2026-03-31 19:00:00,Int. Friendly Games,Spain,Egypt,0,0,D,"0,0","0,0",True,Egypt,36,75,"48,0",39,75,"52,0",9,17,"53,0",8,17,"47,0",11,21,"52,0",9,17,"53,0",195,236,"83,0",25,43,"58,0",17,26,"65,0",24,52,"46,0",4,30,"13,0",0,2,"0,0",España
15794173,local,71,29,2,0,14,2,2,5,"5,0","1,0","12,0","8,0",799,315,8,11,8,12,,,8,2,1,0,4,0,2,0,10,2,4,0,"1,0","0,0",,,37,11,"2,0","0,0","2,0","1,0",742,252,13,16,62,29,"45,0","55,0",6,6,38,91,8,11,6,12,42,33,17,18,2,5,"2,0","0,0",1,9,"0,0","1,0","2,06","0,14",2026-03-27 20:00:00,Int. Friendly Games,Spain,Serbia,3,0,W,"3,0","0,0",True,Serbia,21,49,"43,0",28,49,"57,0",8,15,"53,0",7,15,"47,0",6,11,"55,0",7,9,"78,0",194,235,"83,0",23,53,"43,0",22,37,"59,0",29,56,"52,0",1,8,"13,0",1,10,"10,0",España
13233692,local,73,27,5,1,21,13,5,6,"6,0","3,0","5,0","8,0",766,284,8,12,8,5,"1,0","5,0",9,7,0,0,7,1,5,5,16,7,5,6,"2,0","1,0",,,41,16,"3,0","1,0","3,0","1,0",705,230,16,8,81,30,"51,0","49,0",7,3,50,67,8,12,5,10,47,41,7,39,5,6,"1,0","1,0",1,8,"0,0","2,0","3,08","1,43",2025-11-18 19:45:00,World Cup Qual. UEFA E,Spain,Türkiye,2,2,D,"2,0","2,0",False,Türkiye,18,39,"46,0",21,39,"54,0",9,14,"64,0",5,14,"36,0",2,7,"29,0",4,9,"44,0",223,275,"81,0",58,77,"75,0",14,22,"64,0",25,52,"48,0",5,22,"23,0",4,10,"40,0",España
13233663,visitante,61,39,6,0,14,6,2,3,"6,0","4,0","9,0","9,0",634,400,10,11,8,9,"1,0","0,0",7,2,1,1,3,3,4,1,12,3,2,3,"3,0","0,0","3,0","1,0",34,18,"1,0","0,0","0,0","1,0",580,341,18,12,70,28,"50,0","50,0",7,4,70,64,10,11,5,12,40,45,20,21,2,3,"1,0","1,0",5,7,,,"3,32","0,45",2025-11-15 17:00:00,World Cup Qual. UEFA E,Georgia,Spain,0,4,W,"4,0","0,0",True,Georgia,22,50,"44,0",28,50,"56,0",8,10,"80,0",2,10,"20,0",5,9,"56,0",8,14,"57,0",141,176,"80,0",59,82,"72,0",21,31,"68,0",19,45,"42,0",5,21,"24,0",0,13,"0,0",España
13233640,local,78,22,8,1,33,3,0,8,"11,0","0,0","7,0","6,0",817,239,8,11,5,7,,,11,0,1,0,12,3,10,0,24,2,9,1,"2,0","0,0","0,0","1,0",66,2,"3,0","1,0","3,0","0,0",757,175,17,6,106,34,"42,0","58,0",6,2,50,36,8,11,3,7,46,40,4,53,0,8,"0,0","1,0",4,11,"0,0","4,0","2,99","0,4",2025-10-14 18:45:00,World Cup Qual. UEFA E,Spain,Bulgaria,4,0,W,"4,0","0,0",True,Bulgaria,18,42,"43,0",24,42,"57,0",5,13,"38,0",8,13,"62,0",4,9,"44,0",6,12,"50,0",320,367,"87,0",19,40,"48,0",23,29,"79,0",24,49,"49,0",5,32,"16,0",0,3,"0,0",España
13233608,local,83,17,10,0,24,1,1,4,"10,0","0,0","12,0","8,0",814,171,21,13,7,12,"1,0","0,0",7,1,2,0,12,0,5,0,18,0,6,1,"1,0","0,0","1,0","0,0",46,0,"4,0","1,0","2,0","1,0",755,110,19,12,83,28,"58,0","42,0",10,11,76,38,21,13,11,10,43,28,6,31,1,4,,,0,11,"0,0","1,0","3,54","0,01",2025-10-11 18:45:00,World Cup Qual. UEFA E,Spain,Georgia,2,0,W,"2,0","0,0",True,Georgia,34,59,"58,0",25,59,"42,0",11,19,"58,0",8,19,"42,0",7,10,"70,0",0,10,"0,0",213,251,"85,0",19,42,"45,0",35,42,"83,0",18,46,"39,0",7,27,"26,0",0,1,"0,0",España
13233482,visitante,50,50,10,0,21,11,2,6,"4,0","8,0","9,0","6,0",525,509,26,13,6,9,,,12,2,0,0,4,1,5,8,19,2,2,9,"4,0","0,0","3,0","0,0",40,25,,,"3,0","5,0",468,445,18,21,62,46,"58,0","42,0",8,17,35,69,26,13,7,12,51,47,31,12,2,6,,,3,7,"1,0","0,0","3,14","0,42",2025-09-07 18:45:00,World Cup Qual. UEFA E,Türkiye,Spain,0,6,W,"6,0","0,0",True,Türkiye,43,72,"60,0",29,72,"40,0",6,13,"46,0",7,13,"54,0",11,16,"69,0",8,17,"47,0",125,150,"83,0",101,132,"77,0",17,33,"52,0",25,48,"52,0",2,7,"29,0",1,16,"6,0",España
13233457,visitante,78,22,6,0,24,3,0,8,"6,0","1,0","17,0","6,0",818,228,5,17,6,17,"1,0","0,0",12,0,1,1,5,1,7,2,16,3,8,0,"2,0","0,0","2,0","0,0",55,3,"2,0","0,0","1,0","4,0",753,159,20,13,100,42,"40,0","60,0",6,3,60,53,5,17,3,4,50,49,12,35,0,8,,,1,9,"0,0","2,0","3,41","0,23",2025-09-04 18:45:00,World Cup Qual. UEFA E,Bulgaria,Spain,0,3,W,"3,0","0,0",True,Bulgaria,20,56,"36,0",36,56,"64,0",12,24,"50,0",12,24,"50,0",10,21,"48,0",3,5,"60,0",310,360,"86,0",24,53,"45,0",32,40,"80,0",22,60,"37,0",3,15,"20,0",1,5,"20,0",España
13157878,local,43,57,5,4,16,24,6,3,"4,0","6,0","17,0","14,0",393,503,24,12,13,16,"2,0","4,0",8,9,0,2,0,8,8,7,15,17,1,7,"4,0","2,0","2,0","1,0",23,42,"2,0","3,0","2,0","1,0",323,453,15,14,33,57,"48,0","52,0",8,10,58,50,24,12,6,11,45,49,13,14,6,3,"1,0","0,0",11,4,"2,0","0,0","2,43","2,55",2025-06-05 19:00:00,"UEFA Nations League, Finals",Spain,France,5,4,W,"5,0","4,0",False,France,40,78,"51,0",38,78,"49,0",4,14,"29,0",10,14,"71,0",3,7,"43,0",10,24,"42,0",41,70,"59,0",156,178,"88,0",20,43,"47,0",14,27,"52,0",2,7,"29,0",6,14,"43,0",España
15926539,local,66,34,4,1,17,3,0,4,"6,0","1,0","12,0","5,0",567,302,10,14,5,12,"2,0","2,0",7,1,2,0,8,2,2,0,12,3,5,0,"1,0","1,0",,,32,7,,,"1,0","2,0",523,254,15,12,51,34,"45,0","55,0",8,7,80,64,10,14,2,11,38,35,7,19,0,4,,,4,8,,,,,2026-06-05 02:00:00,Int. Friendly Games,Mexico,Serbia,5,1,W,"5,0","1,0",False,Serbia,22,51,"43,0",29,51,"57,0",8,15,"53,0",7,15,"47,0",7,13,"54,0",3,6,"50,0",102,127,"80,0",18,44,"41,0",23,31,"74,0",20,40,"50,0",8,19,"42,0",0,1,"0,0",México
15891671,local,60,40,1,2,13,7,1,2,"5,0","3,0","7,0","10,0",603,411,11,14,10,7,"1,0","1,0",3,1,0,0,2,3,8,3,5,4,8,3,,,,,11,13,"3,0","2,0","4,0","1,0",541,338,14,21,45,40,"47,0","53,0",6,3,82,86,11,14,4,2,37,38,27,16,1,2,"0,0","1,0",5,2,"1,0","0,0","0,86","0,74",2026-05-31 02:00:00,Int. Friendly Games,Mexico,Australia,1,0,W,"1,0","0,0",True,Australia,22,46,"48,0",24,46,"52,0",13,28,"46,0",15,28,"54,0",2,10,"20,0",3,11,"27,0",69,92,"75,0",53,81,"65,0",17,39,"44,0",14,41,"34,0",6,16,"38,0",1,8,"13,0",México
